timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw,netdata_STATS_GNODEB_bps_average
1665150146.507332,0.05487898874672422,0.15,88.5,0.0607181383880413,499,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2893453,['192.168.22.212'],167,2976972,216,13.9225341796875,18445214.4166667
1665150206.6779919,0.05341291704928068,0.22,88.5,0.05250267870809735,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2893615,['192.168.22.212'],162,2977272,296,18.94631601969401,21386432.16666667
1665150266.8164964,0.05476951163852122,0.38,88.5,0.053095998782899737,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2893774,['192.168.22.212'],159,2977566,298,19.617589314778645,21359039.616666675
1665150326.972744,0.05444646098003629,0.21,88.5,0.05232909860859044,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2893933,['192.168.22.212'],159,2977862,290,19.243723551432293,21308519.166666675
1665150387.1220624,0.05435435435435435,0.24,88.5,0.07552552552552552,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894095,['192.168.22.212'],162,2978162,302,19.062672424316407,21057198.633333325
1665150447.243809,0.050127188388448304,0.13,88.5,0.048025134649910234,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894260,['192.168.22.212'],165,2978470,314,19.934742736816407,21821743.066666678
1665150507.3624604,0.06282644381435606,0.18,88.5,0.060289509028503205,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894432,['192.168.22.212'],172,2978790,310,19.89111328125,22158911.866666675
1665150567.5727808,0.05673758865248227,0.46,88.5,0.05452933353036796,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894604,['192.168.22.212'],172,2979110,324,22.161366780598957,24516612.033333324
1665150627.7028985,0.06109230089798322,0.29,88.5,0.058442514353010455,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894780,['192.168.22.212'],176,2979440,314,21.5546142578125,24519788.5
1665150687.856315,0.06195986524095504,0.28,88.5,0.058590889116742345,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2894959,['192.168.22.212'],179,2979774,333,21.69284413655599,23797563.883333325
1665150748.0046186,0.05806169965075669,0.27,88.5,0.055733410942956925,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895127,['192.168.22.212'],168,2980088,321,20.853802490234376,22862778.666666675
1665150808.1986005,0.05595615806172483,0.29,88.5,0.053937121430631674,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895300,['192.168.22.212'],173,2980410,326,20.703111267089845,22842926.216666676
1665150868.3450665,0.058772935779816515,0.31,88.5,0.05762614678899083,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895483,['192.168.22.212'],183,2980752,334,20.35877736409505,22332000.933333322
1665150928.519919,0.05018534359851725,0.22,88.5,0.0658682634730539,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895636,['192.168.22.212'],153,2981042,304,19.028239949544272,20570501.216666676
1665150988.665304,0.05601233299075026,0.27,88.5,0.0775950668036999,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895798,['192.168.22.212'],162,2981342,286,18.41624552408854,20865305.866666652
1665151048.8091333,0.05644137152532806,0.36,88.5,0.05446592352194158,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2895959,['192.168.22.212'],161,2981642,300,19.260576883951824,21195333.599999975
1665151108.996279,0.04813881891967534,0.32,88.5,0.04631961936747831,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896102,['192.168.22.212'],143,2981904,280,18.128734842936197,19379797.033333324
1665151169.2146997,0.04900735804525892,0.26,88.5,0.06372344856309871,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896249,['192.168.22.212'],147,2982174,266,16.98841298421224,18953092.716666676
1665151229.3250382,0.05473188305390051,0.13,88.5,0.0526534571151448,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896414,['192.168.22.212'],165,2982482,282,17.76403350830078,19998241.716666676
1665151289.470776,0.05007587253414264,0.31,88.5,0.046903021106359494,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896569,['192.168.22.212'],155,2982764,302,17.39330800374349,19106557.6833333
1665151349.6135688,0.0398796087283672,0.45,88.5,0.04574868322046652,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896716,['192.168.22.212'],147,2983034,290,18.659524536132814,19999865.849999998
1665151409.7591426,0.05091455091455092,0.37,88.5,0.04913334243210045,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2896869,['192.168.22.212'],153,2983318,266,16.95222676595052,19021407.96666665
1665151469.921485,0.04603476371537207,0.25,88.5,0.05934274850624661,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897006,['192.168.22.212'],137,2983568,260,15.919896443684896,17596074.883333325
1665151530.0814464,0.04620997162545602,0.23,88.5,0.0433725172274017,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13', '192.168.22.3', '192.168.22.5']",2897150,['192.168.22.212'],144,2983832,266,16.69980265299479,18353803.366666675
