timestamp,cpuLoad,systemLoadAvg,commitedHeap,systemLoad,threads,users,totalRequests,rejections,requests,hits,hits_last_min,bw
1663944853.3329039,0.17349137931034483,0.54,103.5,0.16594827586206898,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",5729,[],609,4428,580,4.993689664204916
1663944913.5107682,0.18203688853247796,0.64,103.5,0.1700534759358289,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",6349,[],615,5020,586,5.063093312581381
1663944973.6747475,0.1677675033025099,0.6,103.5,0.15852047556142668,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",6964,[],615,5606,586,5.008939043680827
1663945033.8334582,0.17183025253840145,0.54,103.5,0.16345653305570018,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",7576,[],612,6188,582,4.9694304784139
1663945094.0016778,0.17426204039357845,0.93,103.5,0.1615324877038571,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",8182,[],604,6766,578,4.906052970886231
1663945154.1686647,0.170076726342711,0.52,103.5,0.16006136537969828,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",8794,[],611,7350,582,4.99260139465332
1663945214.321673,0.17953912382881743,0.58,103.5,0.16991643454038996,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",9406,[],608,7932,579,4.969890721638998
1663945274.465565,0.1793137991485099,0.88,103.5,0.17009018036072146,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",10030,[],619,8528,591,5.0739343643188475
1663945334.6391816,0.17782738095238096,0.74,103.5,0.16691468253968253,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",10640,[],611,9108,582,4.964542388916016
1663945394.8084178,0.17397696642979663,0.68,103.5,0.1639304092134281,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",11257,[],613,9698,582,5.036253484090169
1663945454.9444435,0.16933139534883723,0.8,103,0.16258783620063,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",11871,[],612,10283,586,4.982785224914551
1663945515.0972211,0.18249939569736526,0.81,103,0.1694464587865603,501,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",12493,[],620,10876,592,5.054497591654459
1663945575.1965706,0.17171717171717174,1.08,103,0.16017316017316016,500,"['192.168.22.212', '192.168.22.107', '192.168.22.13']",13101,[],608,11456,580,4.998145039876302
